segmento,ruta,rutas_fuente,es_principal,criterio_seleccion,pax_2019,pax_2020,pax_2021,pax_2022,pax_2023,pax_2024,pax_2025,pax_2019_1s,pax_2026_1s,var_2025,var_2026_1s,valoracion
cabotaje,Córdoba - Resistencia,Córdoba - Resistencia,False,,33953,4961,152,27104,23695,20064,1060,18278,0,-96.8780372868377,-100.0,Muy por debajo de 2019
cabotaje,Salta - Tucumán,Salta - Tucumán,False,,914,519,1583,4587,2770,209,462,900,677,-49.45295404814004,-24.777777777777775,Muy por debajo de 2019
cabotaje,Jujuy - Salta,Jujuy - Salta,False,,3418,568,990,180,466,404,418,1415,183,-87.77062609713282,-87.06713780918727,Muy por debajo de 2019
cabotaje,Comod. Rivadavia - Trelew,Comod. Rivadavia - Trelew,False,,10499,2933,316,7260,14713,7316,209,5962,162,-98.00933422230689,-97.28279100972827,Muy por debajo de 2019
cabotaje,Bahía Blanca - Trelew,Bahía Blanca - Trelew,False,,10928,2516,36,6834,11968,6468,94,6346,117,-99.1398243045388,-98.15631894106524,Muy por debajo de 2019
cabotaje,Comod. Rivadavia - Mendoza,Comod. Rivadavia - Mendoza,False,,32355,3707,259,50,43,342,90,17380,0,-99.72183588317107,-100.0,Muy por debajo de 2019
cabotaje,Iguazú - Mendoza,Iguazú - Mendoza,False,,24495,6852,2,116,66,17,58,14295,27,-99.76321698305777,-99.81112277019936,Muy por debajo de 2019
cabotaje,Jujuy - Tucumán,Jujuy - Tucumán,False,,198,170,608,271,175,134,9,97,0,-95.45454545454545,-100.0,Muy por debajo de 2019
cabotaje,Reconquista - Rosario,Reconquista - Rosario,False,,1894,0,0,11,2698,544,6,1881,12,-99.68321013727561,-99.36204146730464,Muy por debajo de 2019
cabotaje,Bahía Blanca - Ushuaia,Bahía Blanca - Ushuaia,False,,24198,4326,0,0,0,183,0,12182,2,-100.0,-99.98358233459203,Muy por debajo de 2019
cabotaje,Córdoba - Trelew,Córdoba - Trelew,False,,10920,4019,17,19057,24958,6767,0,4145,0,-100.0,-100.0,Muy por debajo de 2019
internacional,Región Buenos Aires - San Pablo,Aeroparque - San Pablo | Ezeiza - San Pablo,True,≥200.000 pasajeros en 2019 y 2025,1732204,396188,170035,1316441,1650380,1762460,1985145,884030,919030,14.602263936580218,3.9591416580885275,Recuperación clara
internacional,Región Buenos Aires - Santiago,Aeroparque - Santiago | Ezeiza - Santiago,True,≥200.000 pasajeros en 2019 y 2025,1550576,386402,177551,945334,1508055,1625728,1694935,801597,801259,9.310024145865793,-0.04216582646890954,Recuperación leve
internacional,Región Buenos Aires - Rio de Janeiro,Aeroparque - Rio de Janeiro | Ezeiza - Rio de Janeiro,True,≥200.000 pasajeros en 2019 y 2025,842114,209026,32350,491884,960032,1165464,1653482,464435,915183,96.34895037963982,97.05297835003822,Recuperación amplia
internacional,Región Buenos Aires - Madrid,Ezeiza - Madrid,True,≥200.000 pasajeros en 2019 y 2025,942423,231740,234314,670709,870275,1034925,1155745,444603,571689,22.63548321719653,28.58415260355869,Recuperación amplia
internacional,Región Buenos Aires - Miami,Ezeiza - Miami,True,≥200.000 pasajeros en 2019 y 2025,858068,237202,335454,502767,566617,652302,776447,444424,494736,-9.51218318361715,11.320720753154646,Recuperación incompleta
internacional,Región Buenos Aires - Panamá,Ezeiza - Panamá,True,≥200.000 pasajeros en 2019 y 2025,310766,82898,102532,296676,410842,451688,598065,151283,321611,92.44865911972353,112.58898884871398,Recuperación amplia
internacional,Región Buenos Aires - Florianópolis,Aeroparque - Florianópolis | Ezeiza - Florianópolis,True,≥200.000 pasajeros en 2025,183746,86894,7234,95818,226661,347190,483182,136188,398260,162.96191481719327,192.433988310277,Recuperación amplia
internacional,Región Buenos Aires - Roma,Ezeiza - Roma,True,≥200.000 pasajeros en 2019 y 2025,355630,66247,1618,156349,299852,347853,377965,175601,180977,6.280403790456379,3.06148598242606,Recuperación leve
internacional,Mendoza - Santiago,Mendoza - Santiago,True,≥200.000 pasajeros en 2019 y 2025,305552,52331,18282,142802,229132,311822,375147,166871,175312,22.77681049379483,5.0583984035572405,Recuperación amplia
internacional,Región Buenos Aires - Bogotá,Ezeiza - Bogotá,True,≥200.000 pasajeros en 2019 y 2025,305108,84579,92026,301687,320739,356231,364534,150348,192546,19.47703763913107,28.0668848272009,Recuperación clara
internacional,Región Buenos Aires - Lima,Ezeiza - Lima,True,≥200.000 pasajeros en 2019 y 2025,783268,167780,74165,220473,428587,447592,328001,416232,162229,-58.12403928157413,-61.024380633877264,Muy por debajo de 2019
internacional,Región Buenos Aires - Punta Cana,Ezeiza - Punta Cana,True,≥200.000 pasajeros en 2025,22581,2774,8591,78924,78252,114788,267253,19085,175292,1083.5304016651166,818.4804820539691,Recuperación amplia
internacional,Región Buenos Aires - Nueva York,Ezeiza - Nueva York,True,≥200.000 pasajeros en 2019 y 2025,311859,53832,61619,208677,250602,302624,251972,158193,129530,-19.203229664688205,-18.11900652999817,Recuperación incompleta
internacional,Córdoba - Panamá,Córdoba - Panamá,True,≥200.000 pasajeros en 2025,110484,21209,6863,84873,139169,196222,247055,58588,148833,123.61156366532708,154.03324912951456,Recuperación amplia
internacional,Región Buenos Aires - Houston,Ezeiza - Houston,True,≥200.000 pasajeros en 2025,174675,45132,76455,159549,178674,205639,238608,84208,122106,36.60111635895233,45.00522515675471,Recuperación amplia
internacional,Región Buenos Aires - Frankfurt,Ezeiza - Frankfurt,True,≥200.000 pasajeros en 2019 y 2025,232632,59071,60634,177137,208867,218752,237175,114432,115562,1.9528697685615048,0.9874860178970879,Igualó el nivel de 2019
internacional,Región Buenos Aires - Asunción,Aeroparque - Asunción | Ezeiza - Asunción,True,≥200.000 pasajeros en 2019 y 2025,265566,61470,53549,139255,183072,198815,235703,121690,149702,-11.245038898051707,23.01914701290164,Recuperación incompleta
internacional,Región Buenos Aires - Barcelona,Ezeiza - Barcelona,True,≥200.000 pasajeros en 2025,195696,43515,33688,115450,150906,173600,214605,97189,115639,9.662435614422371,18.98362983465207,Recuperación leve
