iata;oaci;continent;latitude;longitude;municipality;country
APT;KAPT;NA;35.060.699;'-85.585297;Jasper;US
APU;SSAP;SA;'-23.609099;'-51.384301;Apucarana;BR
APV;KAPV;NA;34.575.298.309.299.900;'-117.185997009;Apple Valley;US
APW;NSFA;OC;'-13.829999923706055;'-172.00799560546875;Apia;WS
APX;SSOG;SA;'-23.352636;'-51.491967;Arapongas;BR
APY;;SA;'-9.08533;'-45.955603;Alto Parnaíba;BR
APZ;SAHZ;SA;'-38.975498;'-70.113602;Zapala;AR
AQA;SBAQ;SA;'-21.812;'-48.132999;Araraquara;BR
AQB;MGQC;NA;150.122;'-91.150597;Santa Cruz del Quiché;GT
AQG;ZSAQ;AS;30.582.199;117.050.003;Anqing;CN
AQI;OEPA;AS;28.335.199;46.125.099;Qaisumah;SA
AQJ;OJAQ;AS;29.611.600.875.854.400;3.501.810.073.852.530;Aqaba;JO
AQM;;SA;'-9.880436;'-63.047115;Ariquemes;BR
AQP;SPQU;SA;'-16.3411006927;'-71.5830993652;Arequipa;PE
AQY;;NA;60.968.774;'-149.119792;Girdwood;US
ARA;KARA;NA;300.378;'-91.883904;New Iberia;US
ARB;KARB;NA;422.229.995.728;'-83.74559783939999;Ann Arbor;US
ARC;PARC;NA;681.147;'-145.578995;Arctic Village;US
ARD;WATM;AS;'-8.13234;124.597;Kabola;ID
ARE;TJAB;NA;1.845.085;'-66.675768;Arecibo;PR
ARF;;SA;0.533333;'-70.133333;Acaricuara;CO
ARG;KARG;NA;36.124.667;'-90.925111;Walnut Ridge;US
ARH;ULAA;EU;6.460.030.364.990.230;4.071.670.150.756.830;Archangelsk;RU
ARI;SCAR;SA;'-18.348499;'-70.338699;Arica;CL
ARK;HTAR;AF;'-3.3677899837493896;3.663.330.078.125;Arusha;TZ
ARL;DFER;AF;11.597;1.483;Arly;BF
ARM;YARM;OC;'-30.528099060099997;151.617.004.395;Armidale;AU
ARN;ESSA;EU;5.964.849;17.928.829;Stockholm;SE
ARO;;SA;8.855.118;'-76.422676;Arboletes;CO
ARR;SAVR;SA;'-45.013599;'-70.812202;Alto Rio Senguerr;AR
ARS;;SA;'-15.8994;'-52.2411;Aragarças;BR
ART;KART;NA;43.991.901;'-76.021698;Watertown;US
ARU;SBAU;SA;'-21.141479;'-50.424575;Araçatuba;BR
ARV;KARV;NA;45.927.898;'-89.730904;Woodruff;US
ARW;LRAR;EU;46.176.601;21.261.999;Arad;RO
ARX;SBAC;SA;'-4.568896;'-37.805135;Aracati;BR
ARY;YARA;OC;'-37.309978;142.988.688;Ararat;AU
ARZ;FNZE;AF;'-7.259277;12.862.355;N'zeto;AO
ASA;HHSB;AF;130.718;42.645;Assab;ER
ASB;UTAA;AS;37.986.801;58.361;Ashgabat;TM
ASC;SLAS;SA;'-15.933365;'-63.155575;Ascensión de Guarayos;BO
ASD;MYAF;NA;24.697.901;'-77.795601;Andros Town;BS
ASE;KASE;NA;39.223.202;'-106.869003;Aspen;US
ASF;URWA;AS;46.282.843;48.010.511;Astrakhan;RU
ASG;NZAS;OC;'-43.903301;171.796.997;Ashburton;NZ
ASH;KASH;NA;427.817;'-71.514801;Nashua;US
ASI;FHAW;AF;'-7.9696;'-14.3937;Cat Hill;SH
ASJ;RJKA;AS;28.430.599.212.646.400;12.971.299.743.652.300;Amami;JP
ASK;DIYO;AF;69.031.701.088;'-5.36558008194;Yamoussoukro;CI
ASL;KASL;NA;325.205.001.831;'-94.307800293;Marshall;US
ASM;HHAS;AF;15.291.899.681.091.300;38.910.701.751.708.900;Asmara;ER
ASN;KASN;NA;33.569.900.512.699.900;'-86.05090332030001;Talladega;US
ASO;HASO;AF;10.018.500.328.063.900;34.586.299.896.240.200;Asosa;ET
ASP;YBAS;OC;'-23.806588;133.903.427;Alice Springs;AU
ASQ;;NA;39.467.708;'-117.197576;Austin;US
ASR;LTAU;AS;38.770.401.001;354.953.994.751;Kayseri;TR
ASS;FAAR;AF;'-24.740527;31.517.973;Arathusa;ZA
AST;KAST;NA;46.158.000.946;'-123.878997803;Astoria;US
ASU;SGAS;SA;'-25.240156;'-57.519227;Asunción;PY
ASV;HKAM;AF;'-2.645050048828125;3.725.310.134.887.690;Amboseli National Park;KE
ASW;HESN;AF;23.968.137;32.824.445;Aswan;EG
ASX;KASX;NA;4.654.850.006;'-90.91899872;Ashland;US
ASY;KASY;NA;460.238.990.784;'-99.3526000977;Ashley;US
ATA;SPHZ;SA;'-9.347439765930176;'-77.59839630126953;Anta;PE
ATB;HSAT;AF;17.710.344;34.057.018;Atbara;SD
ATC;MYCA;NA;246.294;'-75.673797;Arthur's Town;BS
ATD;AGAT;OC;'-8.87333;161.011.002;Atoifi;SB
ATE;;NA;341.926.002.502;'-95.6499023438;Antlers;US
ATF;SEAM;SA;'-1.21207;'-78.5746;Ambato;EC
ATG;;AS;338.690.986.633;724.009.017.944;Kamra;PK
ATH;LGAV;EU;37.936.401;239.445;Spata-Artemida;GR
ATI;SUAG;SA;'-30.4007;'-56.5079;Artigas;UY
ATJ;FMME;AF;'-19.839221;47.063.713;Antsirabe;MG
ATK;PATQ;NA;7.046.704;'-157.436013;Atqasuk;US
ATL;KATL;NA;336.367;'-84.428101;Atlanta;US
ATM;SBHT;SA;'-3.253144;'-52.253938;Altamira;BR
ATO;KUNI;NA;39.211.839;'-82.22949;Albany;US
ATQ;VIAR;AS;317.096;74.797.302;Amritsar;IN
ATR;GQPA;AF;20.506.799.697.875.900;'-13.04319953918457;Atar;MR
ATS;KATS;NA;328.525.009.155;'-104.468002319;Artesia;US
ATT;;NA;60.866.699;'-162.272996;Atmautluak;US
ATU;PAAT;NA;52.829.797;173.173.796;Attu;US
ATV;FTTI;AF;13.239.778;18.315.893;Ati;TD
ATW;KATW;NA;44.258.099;'-88.519096;Appleton;US
ATX;;AS;51.852.306;68.366.892;Atbasar;KZ
ATY;KATY;NA;4.491.400.146;'-97.15470123;Watertown;US
ATZ;HEAT;AF;27.050.818;31.016.309;Asyut;EG
AUA;TNCA;NA;125.014;'-70.015198;Oranjestad;AW
AUC;SKUC;SA;706.888;'-70.7369;Arauca;CO
AUD;YAGD;OC;'-18.514999389648438;1.398.780.059.814.450;;AU
AUE;;AS;28.899.694;33.202.057;Ras Abu Rudeis;EG
AUF;LFLA;EU;47.850.201;349.711;Auxerre;FR
AUG;KAUG;NA;44.320.598.602.299.900;'-69.7973022461;Augusta;US
AUH;OMAA;AS;24.443.764;54.651.718;Abu Dhabi;AE
AUK;;NA;62.682.653;'-164.722481;Alakanuk;US
AUL;;OC;814.528;171.173.004;Aur Atoll;MH
AUM;KAUM;NA;4.366.500.092;'-92.93340302;Austin;US
AUN;KAUN;NA;3.895.479.965;'-121.0820007;Auburn;US
AUO;KAUO;NA;32.615.101;'-85.433998;Auburn;US
AUQ;NTMN;OC;'-9.76879024506;'-139.011001587;Hiva Oa Island;PF
AUR;LFLW;EU;44.891.399;242.194;Aurillac;FR
AUS;KAUS;NA;30.197.535;'-97.662015;Austin;US
AUT;WPAT;AS;'-8.243133;125.606.378;Vila;TL
AUU;YAUR;OC;'-13.354019;141.720.028;Aurukun;AU
AUW;KAUW;NA;449.262.008.667;'-89.6266021729;Wausau;US
AUX;SWGN;SA;'-7.22787;'-48.240501;Araguaína;BR
AUY;NVVA;OC;'-20.249142;169.770.758;Anatom Island;VU
AUZ;KARR;NA;41.771.900.177;'-88.47570037839999;Chicago/Aurora;US
AVB;LIPA;EU;46.031.898;12.596.503;Aviano (PN);IT
AVG;YAUV;OC;'-15.690555;130.008.818;Auvergne Station;AU
