A¤o;RutaCompleta;Aerolinea Nombre;Clase de vuelo;Pax;Asientos_Pax;Vuelos
2023;AEP - MDQ;;Av. Gral Cabotaje;717,5;2400;78
2024;AEP - MDQ;;Av. Gral Cabotaje;1128,5;1378;85
2025;AEP - MDQ;;Av. Gral Cabotaje;986;2507;77,5
2022;AEP - MDQ;;No Regular Cabotaje;106,5;20;31,5
2023;AEP - MDQ;;No Regular Cabotaje;161,5;259;37,5
2024;AEP - MDQ;;No Regular Cabotaje;261;453;33
2025;AEP - MDQ;;No Regular Cabotaje;383;692;52,5
2022;AEP - MDQ;;Regular Cabotaje;149,5;196;2
2023;AEP - MDQ;;Regular Cabotaje;0;0;0,5
2024;AEP - MDQ;;Regular Cabotaje;102;113;2
2025;AEP - MDQ;;Regular Cabotaje;12,5;22;0,5
2022;AEP - MDX;;Av. Gral Cabotaje;2,5;;0,5
2023;AEP - MDX;;Av. Gral Cabotaje;59;133;4,5
2024;AEP - MDX;;Av. Gral Cabotaje;1,5;0;0,5
2022;AEP - MDX;;No Regular Cabotaje;2,5;0;1
2023;AEP - MDX;;No Regular Cabotaje;2;0;0,5
2025;AEP - MDX;;No Regular Cabotaje;0;0;0,5
2022;AEP - MDZ;;Av. Gral Cabotaje;646;1812;64,5
2023;AEP - MDZ;;Av. Gral Cabotaje;749,5;1678;87
2024;AEP - MDZ;;Av. Gral Cabotaje;668,5;721;95
2025;AEP - MDZ;;Av. Gral Cabotaje;453;749;79,5
2022;AEP - MDZ;;No Regular Cabotaje;396,5;576;88
2023;AEP - MDZ;;No Regular Cabotaje;318;292;79
2024;AEP - MDZ;;No Regular Cabotaje;203,5;351;41
2025;AEP - MDZ;;No Regular Cabotaje;288;183;62
2024;AEP - MDZ;;Regular Cabotaje;25;17;1
2025;AEP - MDZ;;Regular Cabotaje;13;22;1
2024;AEP - MIA;;Av. Gral Internacional;0;0;2
2023;AEP - MIA;;No Regular Internacional;3;;1
2024;AEP - MIA;;No Regular Internacional;10;;2
2025;AEP - MIA;;No Regular Internacional;0;;1
2023;AEP - MIA;;Regular Internacional;0;0;1
2022;AEP - MJR;;Av. Gral Cabotaje;1;;0,5
2023;AEP - MJR;;Av. Gral Cabotaje;3,5;;2
2023;AEP - MJR;;No Regular Cabotaje;4,5;;1,5
2024;AEP - MMU;;Av. Gral Internacional;2;;1
2024;AEP - MMU;;No Regular Internacional;3;;2
2022;AEP - MOR;;Av. Gral Cabotaje;0,5;;3,5
2023;AEP - MOR;;Av. Gral Cabotaje;6;0;7,5
2024;AEP - MOR;;Av. Gral Cabotaje;0;0;8,5
2025;AEP - MOR;;Av. Gral Cabotaje;2;29;9
2022;AEP - MOR;;No Regular Cabotaje;0;0;0,5
2023;AEP - MOR;;No Regular Cabotaje;0;0;1,5
2024;AEP - MOR;;No Regular Cabotaje;10,5;22;2
