IDProy;CategObra;Obra;ObraWeb;Total;IATA;SNA;Provincia;total_m;anterior_m;a2025_m;a2026_m;a2027_m;posterior_m;Ant1024;agosto;septiembre;octubre;noviembre;diciembre;A2025;A2026;A2027;PeriPost
517 - 11,25;Balizamiento;GPA - Aeropuerto Ezeiza - Balizamiento 17/35 + Rodaje Hotel + Rodaje Alfa Centerline Completo + Rodaje Principal (obra civil) - Nuevo Proyecto;Balizamiento 17/35 + Rodaje Hotel + Rodaje Alfa Centerline Completo + Rodaje Principal (obra civil);13800000000;EZE;Grupo A;BUENOS AIRES;13800,00 M;0,00 M;0,00 M;6500,00 M;3600,00 M;3700,00 M;0;0;0;0;0;0;0;6500000000;3600000000;3700000000
518 - 11,25;Balizamiento;GPA - Aeropuerto de Ushuaia - Sistema de balizamiento CAT 1 de alta intensidad - Nuevo Proyecto; Sistema de balizamiento CAT 1 de alta intensidad;1800000000;USH;GRUPO B;TIERRA DEL FUEGO;1800,00 M;0,00 M;0,00 M;1800,00 M;0,00 M;0,00 M;0;0;0;0;0;0;0;1800000000;0;0
519 - 11,25;Balizamiento;GPA - Aeropuerto de Calafate - Sistema de balizamiento CAT 1 de alta intensidad - Nuevo Proyecto;Sistema de balizamiento CAT 1 de alta intensidad;3200000000;FTE;GRUPO B;SANTA CRUZ;3200,00 M;0,00 M;0,00 M;3200,00 M;0,00 M;0,00 M;0;0;0;0;0;0;0;3200000000;0;0
520 - 11,25;Terminal de pasajeros;GPA - Aeropuerto de Ushuaia - Pasarelas telescopicas (2 unidades) - Nuevo Proyecto;Pasarelas telescopicas (2 unidades);2000000000;USH;GRUPO B;TIERRA DEL FUEGO;2000,00 M;0,00 M;0,00 M;2000,00 M;0,00 M;0,00 M;0;0;0;0;0;0;0;2000000000;0;0
46 - 11,25 ;Pista;GOIA - Aeropuerto Almirante ZAR de la Ciudad de TRELEW - Rehabilitacion y Ampliacion de Pavimentos e Instalaciones de Nuevas Ayudas Visuales de la Pista 06-24, Calle de Rodaje, Plataforma y Nuevo Balizamiento ;Rehabilitacion y Ampliacion de Pavimentos e Instalaciones de Nuevas Ayudas Visuales de la Pista 06-24, Calle de Rodaje, Plataforma y Nuevo Balizamiento ;330159400;REL;Grupo B;CHUBUT;330,16 M;328,16 M;2,00 M;0,00 M;0,00 M;0,00 M;328159400;0;0;2000000;0;0;2000000;0;0;0
47 - 11,25 ;Pista;GOIA - Aeropuerto Bahía Blanca - Rehabilitacion Pista 16L-34R Calles de Rodaje ampliacion de Plataforma Comercial y Nuevo Balizamiento ;Rehabilitacion Pista 16L-34R Calles de Rodaje ampliacion de Plataforma Comercial y Nuevo Balizamiento ;138597850;BHI;Grupo B;BUENOS AIRES;138,60 M;136,60 M;2,00 M;0,00 M;0,00 M;0,00 M;136597849,6;0;0;2000000;0;0;2000000;0;0;0
48 - 11,25 ;Pista;GOIA - Aeropuerto San Martín de los Andes - Provincia de Neuquén - Rehabilitacion Pista 06-24, Calle de Rodaje y Plataforma. Nuevo Balizamiento ;Rehabilitacion Pista 06-24, Calle de Rodaje y Plataforma. Nuevo Balizamiento ;215711364;CPC;Grupo B;NEUQUEN;215,71 M;213,71 M;2,00 M;0,00 M;0,00 M;0,00 M;213711364;0;0;2000000;0;0;2000000;0;0;0
50 - 11,25;Plataforma;GOIA - Aeroparque Jorge Newbery - Construccion Nueva Plataforma Norte - Modificacion de Monto;Construccion Nueva Plataforma Norte;18228299457;AEP;Grupo A;CABA;18228,30 M;5064,68 M;7723,05 M;5440,57 M;0,00 M;0,00 M;5064679610;55412734;622775325;1306042388;2690486753;3048329145;7723046345;5440573503;0;0
66 - 11,25;Terminal de pasajeros;GOIA - Aeropuerto La Rioja - Nueva Terminal de Pasajeros - ;Nueva Terminal de Pasajeros;550.201.905;IRJ;Grupo A;LA RIOJA;550,20 M;450,20 M;100,00 M;0,00 M;0,00 M;0,00 M;450201904,6;0;0;100000000;0;0;100000000;0;0;0
167 - 11,25;Planta de tratamiento;GOIA - Aeropuerto Iguazœ - Nueva Planta de Tratamiento - Punto de Vuelco - Modificacion de Monto;Nueva Planta de Tratamiento - Punto de Vuelco;1.730.386.631;IGR;Grupo A;MISIONES;1730,39 M;1530,39 M;200,00 M;0,00 M;0,00 M;0,00 M;1530386631;0;200000000;0;0;0;200000000;0;0;0
209 - 11,25;Sistema de aproximacion;GOIA - Aeropuerto Río Grande - Sistema de Luces de Aproximacion (Instalacion) ;Sistema de Luces de Aproximacion (Instalacion) ;761662411,8;RGA;Grupo A;TIERRA DEL FUEGO;761,66 M;719,68 M;41,98 M;0,00 M;0,00 M;0,00 M;719679815;0;0;41982597;0;0;41982597;0;0;0
