mes;mes_nombre;iata;cabotaje;internacional;TotalPasajeros
11;Nov;RSA;48;0;48
12;Dic;RSA;48;0;48
1;Ene;SDE;139;0;139
2;Feb;SDE;134;0;134
3;Mar;SDE;172;1;173
4;Abr;SDE;140;2;142
5;May;SDE;171;4;175
6;Jun;SDE;213;0;213
7;Jul;SDE;183;2;185
8;Ago;SDE;180;0;180
9;Sep;SDE;172;1;173
10;Oct;SDE;159;0;159
11;Nov;SDE;154;0;154
12;Dic;SDE;204;0;204
1;Ene;SFN;84;1;85
2;Feb;SFN;69;0;69
3;Mar;SFN;104;1;105
4;Abr;SFN;101;4;105
5;May;SFN;112;2;114
6;Jun;SFN;85;2;87
7;Jul;SFN;152;4;156
8;Ago;SFN;93;2;95
9;Sep;SFN;148;0;148
10;Oct;SFN;214;1;215
11;Nov;SFN;201;1;202
12;Dic;SFN;190;8;198
1;Ene;SLA;888;112;1000
2;Feb;SLA;790;131;921
3;Mar;SLA;914;151;1065
4;Abr;SLA;840;165;1005
5;May;SLA;803;163;966
6;Jun;SLA;785;114;899
7;Jul;SLA;919;142;1061
8;Ago;SLA;918;144;1062
9;Sep;SLA;1049;156;1205
10;Oct;SLA;1027;198;1225
11;Nov;SLA;981;175;1156
12;Dic;SLA;1003;178;1181
1;Ene;TDL;59;0;59
2;Feb;TDL;65;0;65
3;Mar;TDL;46;0;46
4;Abr;TDL;58;0;58
5;May;TDL;29;0;29
6;Jun;TDL;46;0;46
7;Jul;TDL;21;0;21
8;Ago;TDL;32;0;32
9;Sep;TDL;24;0;24
10;Oct;TDL;16;0;16
11;Nov;TDL;27;0;27
12;Dic;TDL;27;0;27
1;Ene;TUC;561;9;570
2;Feb;TUC;544;11;555
3;Mar;TUC;626;17;643
4;Abr;TUC;556;15;571
5;May;TUC;547;9;556
6;Jun;TUC;577;13;590
7;Jul;TUC;682;9;691
8;Ago;TUC;602;12;614
9;Sep;TUC;585;16;601
10;Oct;TUC;600;36;636
11;Nov;TUC;555;36;591
12;Dic;TUC;581;51;632
1;Ene;UAQ;169;0;169
2;Feb;UAQ;178;0;178
3;Mar;UAQ;181;0;181
4;Abr;UAQ;178;0;178
5;May;UAQ;179;0;179
6;Jun;UAQ;172;0;172
7;Jul;UAQ;199;0;199
8;Ago;UAQ;199;0;199
9;Sep;UAQ;160;0;160
10;Oct;UAQ;201;1;202
11;Nov;UAQ;195;0;195
12;Dic;UAQ;173;0;173
1;Ene;USH;1064;7;1071
2;Feb;USH;838;11;849
3;Mar;USH;854;10;864
4;Abr;USH;478;1;479
5;May;USH;380;0;380
6;Jun;USH;352;0;352
7;Jul;USH;563;0;563
8;Ago;USH;633;0;633
9;Sep;USH;612;4;616
10;Oct;USH;640;7;647
11;Nov;USH;865;18;883
12;Dic;USH;1007;19;1026
1;Ene;VDM;67;0;67
2;Feb;VDM;50;0;50
3;Mar;VDM;63;0;63
4;Abr;VDM;50;0;50
5;May;VDM;58;0;58
6;Jun;VDM;58;0;58
7;Jul;VDM;51;0;51
8;Ago;VDM;82;0;82
9;Sep;VDM;72;0;72
10;Oct;VDM;95;0;95
11;Nov;VDM;89;0;89
12;Dic;VDM;80;0;80
1;Ene;VLG;68;0;68
2;Feb;VLG;28;0;28
3;Mar;VLG;7;0;7
4;Abr;VLG;1;0;1
5;May;VLG;0;0;0
6;Jun;VLG;0;0;0
7;Jul;VLG;0;0;0
8;Ago;VLG;2;0;2
9;Sep;VLG;9;0;9
10;Oct;VLG;27;0;27
11;Nov;VLG;25;0;25
12;Dic;VLG;74;0;74
1;Ene;VME;0;0;0
2;Feb;VME;0;0;0
3;Mar;VME;0;0;0
4;Abr;VME;0;0;0
5;May;VME;0;0;0
6;Jun;VME;0;0;0
7;Jul;VME;0;0;0
8;Ago;VME;0;0;0
9;Sep;VME;6;0;6
10;Oct;VME;0;0;0
11;Nov;VME;0;0;0
12;Dic;VME;0;0;0
